Project Key,Issue ID,Issue Type,Summary,Description,Priority,Labels,Assignee,Reporter,Parent ID,Components,Due Date,Original Estimate
UST,T1,Tarea,Implementar login con JWT,"Tarea: Endpoint /auth/login que emite access token (JWT) y refresh token. Incluye validación, bloqueo por intentos y seguridad.",Highest,auth,,,,security,2025-11-10,16h
UST,S1,Subtarea,Endpoint /auth/login,"Subtarea: Crear endpoint que valide credenciales, emita JWT y refresh token; devolver errores claros.",High,auth,,,T1,auth,2025-11-05,6h
UST,S2,Subtarea,Refresh token,"Subtarea: Implementar /auth/refresh con rotación e invalidación segura de refresh tokens.",High,auth,,,T1,auth,2025-11-07,6h
UST,S3,Subtarea,Tests de seguridad auth,"Subtarea: Unit e integración para login, refresh y manejo de tokens expirados/invalidos.",High,qa,,,T1,qa,2025-11-09,8h

UST,T2,Tarea,Modelado de datos de reservas,"Tarea: Diseñar esquemas para usuarios, alojamientos, reservas, disponibilidad y pagos.",High,database,,,,database,2025-12-01,24h
UST,S4,Subtarea,Esquema Usuarios/Alojamientos,"Subtarea: Definir tablas/colecciones, campos obligatorios y relaciones principales.",Medium,database,,,T2,database,2025-11-10,8h
UST,S5,Subtarea,Esquema Reservas/Disponibilidad,"Subtarea: Modelo de calendario, franjas, bloqueo por reservas y zonas horarias.",High,database,,,T2,availability,2025-11-15,8h
UST,S6,Subtarea,Indices y optimización,"Subtarea: Añadir índices y pruebas de rendimiento en consultas críticas.",Medium,performance,,,T2,database,2025-11-20,8h

UST,T3,Tarea,API REST para reservas,"Tarea: Endpoints CRUD para reservas, búsqueda por filtros y control de conflictos.",High,api,,,,api,2026-01-10,40h
UST,S7,Subtarea,POST /reservas,"Subtarea: Crear reserva, verificar disponibilidad y transacción atómica.",High,api,,,T3,api,2025-12-05,10h
UST,S8,Subtarea,GET /reservas,"Subtarea: Listar reservas por usuario/ alojamiento / rango de fechas con paginación.",Medium,api,,,T3,api,2025-12-08,6h
UST,S9,Subtarea,Control de concurrencia,"Subtarea: Evitar double-booking con locks o estrategias optimistas.",High,api,,,T3,api,2025-12-12,8h

UST,T4,Tarea,Gestion de alojamientos (CRUD),"Tarea: Endpoints y panel para crear/editar alojamientos, políticas y fotos.",High,models,,,,models,2026-01-15,32h
UST,S10,Subtarea,Upload de imágenes,"Subtarea: Implementar subida, validación y optimización de imágenes (S3/Cloud).",Medium,storage,,,T4,storage,2025-12-01,8h
UST,S11,Subtarea,Validaciones y políticas,"Subtarea: Reglas de publicación, campos obligatorios y políticas de cancelación.",Medium,models,,,T4,models,2025-12-05,6h
UST,S12,Subtarea,UI formulario alojamiento,"Subtarea: Formularios y validaciones del lado cliente para crear alojamiento.",Medium,ui,,,T4,ui,2025-12-10,8h

UST,T5,Tarea,Integración pasarela de pagos,"Tarea: Checkout seguro, webhooks, reembolsos y cumplimiento básico PCI.",High,payments,,,,payments,2026-01-20,40h
UST,S13,Subtarea,Checkout server-side,"Subtarea: Endpoint de checkout que genera intentos de pago y tokens seguros.",High,payments,,,T5,payments,2025-12-18,12h
UST,S14,Subtarea,Procesar webhooks,"Subtarea: Validar firmas y actualizar estado de pago/reserva en los webhooks.",High,payments,,,T5,payments,2025-12-22,8h
UST,S15,Subtarea,Reembolsos y conciliación,"Subtarea: Lógica para emitir reembolsos y registrar conciliaciones.",Medium,finance,,,T5,payments,2026-01-05,10h

UST,T6,Tarea,Interfaz: flujo de reserva (web),"Tarea: UX para búsqueda, calendario, selección de fechas y proceso de reserva.",High,ui,,,,ui,2026-02-15,60h
UST,S16,Subtarea,Componente calendario UI,"Subtarea: Selector de fechas, visualización de disponibilidad y bloqueo visual.",Medium,ui,,,T6,ui,2025-12-10,12h
UST,S17,Subtarea,Página detalle alojamiento,"Subtarea: Galería, descripción, reviews y disponibilidad en la UI.",Medium,ui,,,T6,ui,2026-01-10,16h
UST,S18,Subtarea,Checkout UI,"Subtarea: Resumen de reserva, formulario de pago y confirmación visual.",High,ui,,,T6,ui,2026-01-20,12h

UST,T7,Tarea,Calendario y sincronización,"Tarea: Gestionar disponibilidad, bloqueos y sincronización con iCal/external calendars.",Medium,integration,,,,availability,2026-01-25,24h
UST,S19,Subtarea,API de disponibilidad,"Subtarea: Endpoints para consultar y reservar franjas con cache y TTL.",High,availability,,,T7,availability,2025-12-20,8h
UST,S20,Subtarea,Import/Export iCal,"Subtarea: Importar/Exportar iCal y resolver conflictos de sincronía.",Medium,integrations,,,T7,integrations,2025-12-30,8h
UST,S21,Subtarea,Notificaciones calendario,"Subtarea: Notificar cambios de disponibilidad a hosts y usuarios.",Medium,notifications,,,T7,notifications,2026-01-05,8h

UST,T8,Tarea,Tests automáticos y e2e,"Tarea: Cobertura para lógica crítica, integración y pruebas end-to-end.",High,qa,,,,qa,2026-03-31,48h
UST,S22,Subtarea,Unit tests backend,"Subtarea: Tests para modelos y lógica de reservas y auth.",Medium,qa,,,T8,qa,2026-01-20,12h
UST,S23,Subtarea,Integration tests pagos,"Subtarea: Tests para flujo reserva -> checkout -> webhook.",High,qa,,,T8,qa,2026-02-10,12h
UST,S24,Subtarea,Tests e2e GUI,"Subtarea: Cypress/Playwright para flujo completo: registro->login->reserva->pago.",High,qa,,,T8,qa,2026-02-20,12h

UST,T9,Tarea,CI/CD y despliegue,"Tarea: Pipelines para lint, tests, build y despliegue a staging/production.",High,devops,,,,ci,2026-02-28,32h
UST,S25,Subtarea,Pipeline PRs,"Subtarea: Ejecutar lint y tests en cada PR, reportes y gating.",Medium,ci,,,T9,ci,2025-11-25,8h
UST,S26,Subtarea,Despliegue a staging,"Subtarea: CD automático a staging con rollback sencillo.",Medium,ci,,,T9,ci,2026-01-15,10h
UST,S27,Subtarea,Despliegue a prod,"Subtarea: Estrategia blue/green o canary y runbook de releases.",High,ci,,,T9,ci,2026-02-01,12h

UST,T10,Tarea,Documentación y OpenAPI,"Tarea: Documentar API (OpenAPI), README y guía de despliegue para contributors.",Medium,docs,,,,docs,2026-01-31,20h
UST,S28,Subtarea,Spec OpenAPI,"Subtarea: Crear spec OpenAPI con ejemplos y modelos.",Medium,docs,,,T10,docs,2025-12-20,8h
UST,S29,Subtarea,README y onboarding,"Subtarea: Guía de contribución, comandos y entorno local.",Medium,docs,,,T10,docs,2025-12-10,6h
UST,S30,Subtarea,Guía de despliegue,"Subtarea: Pasos para desplegar en staging/prod y variables de entorno.",Medium,docs,,,T10,docs,2026-01-15,6h
